Title,Price,URL,Date,Odometer,Model,Drive,Transmission,Paint Color
2019 Honda odyssey,$21.200,https://boston.craigslist.org/gbs/cto/d/watertown-2019-honda-odyssey/7589869207.html,17 mins ago, 83149,vide, fwd, automatic, black
2016 Toyota Camry Hybrid,$17.950,https://boston.craigslist.org/gbs/ctd/d/somerville-2016-toyota-camry-hybrid/7589866853.html,25 mins ago, 94000,vide, fwd, automatic, black
2008 Subaru Legacy,$5.300,https://boston.craigslist.org/gbs/cto/d/mattapan-2008-subaru-legacy/7589866566.html,26 mins ago, 66136,vide,vide, automatic,vide
2019 Honda Civic,$20.998,https://boston.craigslist.org/sob/cto/d/braintree-2019-honda-civic/7589865455.html,29 mins ago, 28910,vide, fwd, automatic, silver
Honda Accord Hybrid,$5.400,https://boston.craigslist.org/gbs/cto/d/malden-honda-accord-hybrid/7589865351.html,29 mins ago, 193000,vide, fwd, automatic,vide
2016 Mercedes Benz GLC 300,$27.000,https://boston.craigslist.org/gbs/cto/d/newton-2016-mercedes-benz-glc-300/7589859271.html,46 mins ago, 57684,vide, 4wd, automatic, blue
2019 Jeep Grand Cherokee,$27.500,https://boston.craigslist.org/sob/cto/d/quincy-2019-jeep-grand-cherokee/7589853055.html,1h ago, 76000,vide, 4wd, automatic,vide
2021 Cadillac XT4 Luxury 24 (Month Lease),$248,https://boston.craigslist.org/gbs/ctd/d/boston-2021-cadillac-xt4-luxury-24/7589841352.html,2h ago, 15651,vide, fwd, automatic, black
2021 Toyota 4Runner TRD Off Road 24 (Month Lease),$280,https://boston.craigslist.org/gbs/ctd/d/boston-2021-toyota-4runner-trd-off-road/7589841344.html,2h ago, 45210,vide, 4wd, automatic, silver
2021 Kia Stinger GT 24 (Month Lease),$256,https://boston.craigslist.org/gbs/ctd/d/boston-2021-kia-stinger-gt-24-month/7589841319.html,2h ago, 27218,vide, rwd, automatic, white
2021 Jeep Cherokee Trailhawk 24 (Month Lease),$219,https://boston.craigslist.org/gbs/ctd/d/boston-2021-jeep-cherokee-trailhawk-24/7589841306.html,2h ago, 35075,vide, 4wd, automatic, black
2021 Honda CR-V Special Edition 24 (Month Lease),$216,https://boston.craigslist.org/gbs/ctd/d/boston-2021-honda-cr-special-edition-24/7589841288.html,2h ago, 8777,vide, 4wd, automatic, white
1998 Jeep Wrangler TJ Sahara,$15.800,https://boston.craigslist.org/gbs/cto/d/cambridge-1998-jeep-wrangler-tj-sahara/7589840314.html,2h ago, 141700,vide, 4wd, manual, white
2011 Toyota Sienna XLE minivan 7 pass,$7.900,https://boston.craigslist.org/gbs/cto/d/revere-2011-toyota-sienna-xle-minivan/7589839457.html,2h ago, 249000,vide, fwd, automatic, white
2005 Toyota camry LE Sedan 4D,$3.599,https://boston.craigslist.org/gbs/ctd/d/roslindale-2005-toyota-camry-le-sedan-4d/7589835763.html,2h ago, 203900,vide, fwd, automatic, silver
Range Rover Evoque HSE Dynamic AWD 4dr SUV,$31.995,https://boston.craigslist.org/nos/ctd/d/malden-range-rover-evoque-hse-dynamic/7589835409.html,2h ago, 74057,vide, 4wd, automatic, silver
2009 Volvo XC70 Cross Country 3.2l,$4.499,https://boston.craigslist.org/gbs/ctd/d/roslindale-2009-volvo-xc70-cross/7589834329.html,2h ago, 182285,vide, 4wd, automatic, black
2004 GMC Envoy SLE 4WD,$4.499,https://boston.craigslist.org/gbs/ctd/d/roslindale-2004-gmc-envoy-sle-4wd/7589829858.html,2h ago, 137900,vide, 4wd, automatic, red
2000 Toyota ECHO 2-Door,$2.999,https://boston.craigslist.org/gbs/ctd/d/roslindale-2000-toyota-echo-door/7589829292.html,2h ago, 123000,vide, fwd, automatic, red
2000 Toyota Camry LE V6,$3.799,https://boston.craigslist.org/gbs/ctd/d/roslindale-2000-toyota-camry-le-v6/7589828861.html,2h ago, 92000,vide, fwd, automatic, silver
2006 Pontiac Vibe Sport Base,$3.799,https://boston.craigslist.org/gbs/ctd/d/roslindale-2006-pontiac-vibe-sport-base/7589827219.html,2h ago, 149300,vide, fwd, automatic, grey
2007 Honda Pilot LX 4WD,$5.199,https://boston.craigslist.org/gbs/ctd/d/roslindale-2007-honda-pilot-lx-4wd/7589822949.html,2h ago, 160870,vide, 4wd, automatic, silver
2010 Ford Fusion V6 SEL,$4.999,https://boston.craigslist.org/gbs/ctd/d/roslindale-2010-ford-fusion-v6-sel/7589821501.html,2h ago, 153400,vide, fwd, automatic, blue
1985 Mercury Capri 5.0L,$9.900,https://boston.craigslist.org/gbs/cto/d/hyde-park-1985-mercury-capri-50l/7589786481.html,4h ago, 81000,vide, rwd, manual, red
2004 BMW 330Ci 6 Speed,$8.000,https://boston.craigslist.org/sob/cto/d/milton-2004-bmw-330ci-speed/7589783859.html,4h ago, 175000,vide, rwd, manual, grey
BMW X5 2006 3.0L AWD,$3.800,https://boston.craigslist.org/gbs/cto/d/dorchester-center-bmw-l-awd/7589770230.html,4h ago, 160000,vide, 4wd, automatic, white
2017 WRX Limited,$31.800,https://boston.craigslist.org/gbs/cto/d/belmont-2017-wrx-limited/7589746292.html,5h ago, 35000,vide,vide, manual,vide
